RTT,Davg,Uavg,Dsum,Usum
79.95,2.21,2.22,8.84,8.86
52.94,2.27,2.25,9.09,9.02
52.66,2.28,2.30,9.14,9.21
81.34,2.21,2.22,8.84,8.86
101.86,2.24,2.22,8.97,8.90
157.60,2.26,2.28,9.04,9.12
60.39,2.28,2.30,9.14,9.20
79.56,2.24,2.23,8.98,8.94
52.98,2.28,2.27,9.10,9.07
52.63,2.29,2.29,9.14,9.18
78.37,2.20,2.22,8.78,8.87
103.50,2.25,2.26,8.99,8.96
155.00,2.26,2.26,9.01,9.05
60.38,2.29,2.29,9.14,9.18
79.17,2.23,2.25,8.90,9.00
52.99,2.28,2.25,9.10,9.01
52.69,2.28,2.30,9.13,9.18
79.26,2.21,2.21,8.84,8.83
105.81,2.24,2.25,8.96,8.98
156.79,2.25,2.29,9.00,9.16
60.40,2.29,2.30,9.15,9.20
79.14,2.22,2.24,8.89,8.96
53.02,2.28,2.26,9.10,9.05
52.67,2.29,2.30,9.14,9.20
80.43,2.20,2.22,8.81,8.89
101.70,2.24,2.24,8.97,8.95
156.16,2.26,2.28,9.04,9.14
60.36,2.29,2.30,9.15,9.21
79.50,2.22,2.24,8.88,8.96
53.00,2.27,2.26,9.08,9.02
52.83,2.28,2.29,9.13,9.17
79.08,2.21,2.22,8.85,8.90
103.08,2.24,2.24,8.95,8.95
157.02,2.24,2.30,8.98,9.17
60.44,2.29,2.29,9.14,9.17
